year,exporter_code,importer_code,exporter_name,importer_name,hs_section,value,quantity
1995,156,124,China,Canada,VII - Plastics and rubber,144207.737,59163.146
1995,156,124,China,Canada,VIII - Raw hides and skins; leather; travel goods,236118.23700000002,14497.859
1995,156,124,China,Canada,X - Pulp of wood; paper and paperboard,32437.401,8589.235999999999
1995,156,124,China,Canada,XI - Textiles and textile articles,555076.175,50373.972
1995,156,124,China,Canada,XII - Footwear; headgear; umbrellas,373692.056,8834.615
1995,156,124,China,Canada,"XIII - Articles of stone, plaster, cement, glass",62107.938,42572.893
1995,156,124,China,Canada,XIX - Arms and ammunition,1211.217,29.091
1995,156,124,China,Canada,XV - Base metals and articles of base metal,204165.265,150167.417
1995,156,124,China,Canada,XVI - Machinery and electrical equipment,704469.079,143069.001
1995,156,124,China,Canada,"XVII - Vehicles, aircraft, vessels",38796.134,19582.323
1995,156,124,China,Canada,"XVIII - Optical, medical, measuring instruments",84478.359,5920.276
1995,156,124,China,Canada,XX - Miscellaneous manufactured articles,575486.879,92915.175
1995,156,251,China,France,I - Live animals; animal products,131670.089,45450.862
1995,156,251,China,France,II - Vegetable products,105271.114,84751.862
1995,156,251,China,France,III - Animal or vegetable fats and oils,855.577,309.661
1995,156,251,China,France,IV - Prepared foodstuffs; beverages; tobacco,45038.4,41182.355
1995,156,251,China,France,IX - Wood and articles of wood,79816.823,54821.977999999996
1995,156,251,China,France,V - Mineral products,111171.771,1522327.4479999999
1995,156,251,China,France,VI - Products of the chemical or allied industries,233453.281,95840.614
1995,156,251,China,France,VII - Plastics and rubber,213581.57,70995.462
1995,156,251,China,France,VIII - Raw hides and skins; leather; travel goods,445686.344,59480.617999999995
1995,156,251,China,France,X - Pulp of wood; paper and paperboard,47046.273,8665.337
1995,156,251,China,France,XI - Textiles and textile articles,756229.115,54731.999
1995,156,251,China,France,XII - Footwear; headgear; umbrellas,353551.043,48055.096000000005
1995,156,251,China,France,"XIII - Articles of stone, plaster, cement, glass",60484.329,31482.613999999998
1995,156,251,China,France,XIX - Arms and ammunition,2194.629,431.654
1995,156,251,China,France,XV - Base metals and articles of base metal,216293.366,87759.814
1995,156,251,China,France,XVI - Machinery and electrical equipment,1202540.613,120664.073
1995,156,251,China,France,"XVII - Vehicles, aircraft, vessels",41523.916,10428.879
1995,156,251,China,France,"XVIII - Optical, medical, measuring instruments",277921.287,7880.678
1995,156,251,China,France,XX - Miscellaneous manufactured articles,811721.283,137908.576
1995,156,380,China,Italy,I - Live animals; animal products,24554.484,8348.405
1995,156,380,China,Italy,II - Vegetable products,96729.84700000001,183578.702
1995,156,380,China,Italy,III - Animal or vegetable fats and oils,3546.464,3693.928
1995,156,380,China,Italy,IV - Prepared foodstuffs; beverages; tobacco,20997.287,48314.33
1995,156,380,China,Italy,IX - Wood and articles of wood,62445.549,25698.171
1995,156,380,China,Italy,V - Mineral products,133678.62600000002,1729892.3969999999
1995,156,380,China,Italy,VI - Products of the chemical or allied industries,251368.632,100099.641
1995,156,380,China,Italy,VII - Plastics and rubber,135825.224,47547.428
1995,156,380,China,Italy,VIII - Raw hides and skins; leather; travel goods,286593.551,31214.064000000002
1995,156,380,China,Italy,X - Pulp of wood; paper and paperboard,15528.323,4722.108
1995,156,380,China,Italy,XI - Textiles and textile articles,973775.41,67140.0
1995,156,380,China,Italy,XII - Footwear; headgear; umbrellas,228586.739,31157.963
1995,156,380,China,Italy,"XIII - Articles of stone, plaster, cement, glass",50877.894,28030.35
1995,156,380,China,Italy,XIX - Arms and ammunition,58.585,3.628
1995,156,380,China,Italy,XV - Base metals and articles of base metal,257717.394,345664.076
1995,156,380,China,Italy,XVI - Machinery and electrical equipment,765182.759,85862.613
1995,156,380,China,Italy,"XVII - Vehicles, aircraft, vessels",55476.416,2824.535
